Term,Coefficient,Odds_Ratio
G_Female_Black,-0.5159764696066136,0.5969174382112492
G_Female_Hispanic,-0.4223281197161411,0.6555189154217103
G_Male_Black,-0.3684056651407568,0.6918364708159579
G_Male_Hispanic,-0.3468862458035495,0.7068857349031223
G_Female_Asian,-0.19455354100719072,0.8232021020069273
G_Male_Asian,-0.14140480035173447,0.8681378180659877
G_Female_White,-0.1198096325531909,0.887089293568132
AlgorithmSkill,-0.02228796293692558,0.9779585786753509
EducationLevel,0.040367164384274824,1.0411929930037145
YearsExperience,0.26549852108171457,1.3040809255917354
OverallInterviewScore,0.7628413285238074,2.1443604052044627
